Date,Ping (ms),Download (mb/s),Upload (mb/s)
2018-01-16,4.88,43.4,35.99
2018-01-17,3.91,42.18,40.16
2018-01-18,5.27,43.89,40.73
2018-01-19,6.27,27.56,21.56
2018-01-20,6.01,39.41,30.24
2018-01-21,7.81,45.43,42.84
2018-01-22,5.26,44.88,34.33
2018-01-23,4.29,44.14,40.29
2018-01-24,4.26,45.55,41.49
2018-01-26,5.38,41.46,37.91
2018-01-29,3.91,42.75,32.13
2018-01-31,3.94,41.36,39.65
2018-02-01,6.49,28.59,29.33
2018-02-03,5.01,32.71,39.95
2018-02-05,3.9,44.16,35.7
2018-02-07,4.77,12.57,18.24
2018-02-11,5.42,11.53,19.85
2018-02-12,3.91,37.64,33.83
2018-02-13,0.0,37.64,37.8
2018-02-14,6.26,7.77,16.93
2018-02-15,6.9,25.13,15.49
2018-02-16,4.61,12.64,12.33
2018-02-17,34.96,5.68,6.04
2018-02-18,8.0,15.23,19.0
2018-02-19,3.91,40.8,30.6
2018-02-20,11.72,35.73,24.77
2018-02-21,3.91,42.75,35.7
2018-02-22,11.72,29.69,35.7
2018-02-23,3.91,39.82,40.16
2018-02-24,9.77,1.8,11.73
2018-02-25,7.64,17.53,17.16
2018-02-26,6.13,11.85,17.21
2018-02-27,6.26,5.79,15.17
2018-02-28,6.87,3.5,15.56
2018-03-01,5.26,42.01,43.4
2018-03-02,4.26,41.77,41.43
2018-03-03,5.26,40.33,36.62
2018-03-04,4.14,40.18,38.49
2018-03-05,3.9,42.74,37.8
2018-03-06,4.26,43.03,32.55
2018-03-07,4.51,42.67,35.68
2018-03-08,21.03,25.08,23.95
2018-03-09,7.81,40.49,33.71
2018-03-10,10.77,43.59,13.76
2018-03-11,3.91,45.68,26.74
2018-03-12,5.01,46.12,32.03
2018-03-13,0.0,44.53,35.7
2018-03-14,4.51,42.31,22.89
2018-03-15,11.73,29.68,10.53
2018-03-17,7.81,36.6,19.47
2018-03-18,4.38,43.53,32.17
2018-03-19,9.41,24.0,33.32
2018-03-20,4.33,44.73,28.37
2018-03-21,3.91,38.37,21.89
2018-03-22,4.76,44.37,34.51
2018-03-23,5.88,43.15,29.12
2018-03-24,4.26,43.93,39.63
2018-03-25,3.91,39.32,35.7
2018-03-26,10.94,35.98,23.8
2018-03-27,10.28,25.14,32.41
2018-03-28,7.81,41.47,37.8
2018-03-29,7.81,22.25,22.16
2018-03-30,10.52,37.58,31.93
2018-03-31,8.26,40.55,36.86
2018-04-01,10.52,38.98,36.86
2018-04-02,7.81,40.42,38.01
2018-04-03,7.81,42.38,27.94
2018-04-04,5.26,35.87,16.21
2018-04-05,5.13,43.04,30.2
2018-04-06,3.91,41.76,40.16
2018-04-07,5.51,44.32,41.98
2018-04-08,4.76,38.36,19.24
2018-04-09,4.13,45.29,39.75
2018-04-10,4.01,42.98,31.04
2018-04-11,3.92,44.16,42.83
2018-04-12,8.64,35.64,27.62
2018-04-13,4.16,44.21,35.52
2018-04-14,5.76,42.79,40.8
2018-04-15,4.76,36.7,36.07
2018-04-16,4.69,22.92,28.88
2018-04-17,5.01,42.66,38.94
2018-04-18,3.89,45.64,40.31
2018-04-19,5.01,38.67,32.32
2018-04-20,3.91,44.53,40.16
2018-04-21,3.9,44.53,20.73
2018-04-22,11.72,37.08,35.7
2018-04-23,4.76,45.33,41.6
2018-04-25,11.72,41.83,35.7
2018-04-26,4.03,43.03,32.74
2018-04-27,4.88,45.56,4.18
2018-10-10,1.379,31.64,4.78
2018-10-11,1.6010000000000002,44.67,26.92
2018-10-12,1.648,40.8,29.11
2018-10-13,1.327,42.83,29.56
2018-10-14,1.357,39.45,41.13
2018-10-15,1.3630000000000002,45.6,41.36
2018-10-16,1.5719999999999998,40.03,18.98
2018-10-17,1.9340000000000002,45.11,37.98
2018-10-18,1.401,43.59,44.07
2018-10-19,1.6269999999999998,22.0,25.58
2018-10-20,1.3019999999999998,28.24,30.36
2018-10-21,1.2770000000000001,37.34,47.15
2018-10-23,1.46,45.44,35.68
2018-10-24,1.5719999999999998,43.76,35.57
2018-10-25,1.487,46.53,43.98
2018-10-26,1.505,35.41,35.36
2018-10-27,1.469,46.41,45.65
2018-10-28,1.7169999999999999,47.27,46.55
2018-10-29,1.551,41.42,37.89
2018-10-30,1.644,38.48,34.88
2018-10-31,1.86,34.25,32.2
2018-11-01,6.143,20.61,21.43
2018-11-02,1.661,38.87,23.97
2018-11-03,1.485,19.61,6.2
2018-11-04,1.406,46.59,42.92
2018-11-05,1.58,44.43,39.74
2018-11-06,1.666,39.95,40.81
2018-11-07,1.5319999999999998,47.09,39.12
2018-11-08,1.546,36.51,37.22
2018-11-09,1.67,19.92,17.46
2018-11-10,1.733,29.87,27.79
2018-11-11,1.818,30.86,35.09
2018-11-12,1.872,43.1,36.3
2018-11-13,1.557,38.11,29.53
2018-11-15,1.548,39.34,34.34
2018-11-17,1.614,31.79,28.44
2018-11-18,1.5490000000000002,30.41,34.97
2018-11-19,1.827,17.34,27.53
2018-11-20,1.6800000000000002,44.8,34.61
2018-11-21,5.638999999999999,16.72,13.76
2018-11-22,1.961,12.15,24.06
2018-11-23,2.125,19.7,1.12
2018-11-24,1.632,44.61,43.98
2018-11-25,1.5419999999999998,19.65,26.86
2018-11-26,1.75,36.31,18.13
2018-11-27,1.868,42.79,37.25
2018-11-28,1.834,39.93,39.36
2018-11-30,1.664,32.23,45.44
2018-11-30,2.295,37.93,31.37
2018-12-01,1.839,45.69,45.48
2018-12-02,1.959,44.06,35.62
2018-12-03,2.021,45.34,39.76
2018-12-04,1.989,47.04,45.1
2018-12-05,1.747,37.79,40.4
2018-12-06,1.442,14.08,31.0
2018-12-07,1.7899999999999998,44.57,44.29
2018-12-08,1.7280000000000002,38.34,34.97
2018-12-09,1.4809999999999999,45.57,46.64
2018-12-11,1.31,45.12,43.42
2018-12-11,1.335,44.3,45.97
2018-12-12,1.4240000000000002,33.13,28.47
2018-12-13,1.5519999999999998,20.64,33.96
2018-12-14,1.804,37.11,29.8
2018-12-15,1.609,17.8,16.54
2018-12-16,1.23,44.2,39.02
2018-12-17,1.6149999999999998,44.34,45.39
2018-12-18,1.795,39.46,28.07
2018-12-19,1.778,15.99,6.82
2018-12-20,1.606,46.11,42.24
2018-12-21,1.329,25.17,20.23
2018-12-22,1.5519999999999998,8.17,7.83
2018-12-23,1.652,28.78,5.68
2018-12-24,1.6840000000000002,45.71,43.45
2018-12-25,1.739,39.65,11.83
2018-12-26,1.3219999999999998,42.88,31.03
2018-12-27,1.6369999999999998,46.05,38.83
2018-12-28,1.618,37.87,3.75
2018-12-29,1.444,47.24,36.0
2018-12-30,1.475,46.44,24.66
2018-12-31,1.334,40.65,16.94
2019-01-01,1.229,45.0,34.06
2019-01-02,1.819,44.61,36.32
2019-01-03,1.47,44.99,32.61
