Date,Ping (ms),Download (mb/s),Upload (mb/s),Year,Month,Day
1/16/2018,4.88,43.4,35.99,2018,1,16
1/17/2018,3.91,42.18,40.16,2018,1,17
1/18/2018,5.27,43.89,40.73,2018,1,18
1/19/2018,6.27,27.56,21.56,2018,1,19
1/20/2018,6.01,39.41,30.24,2018,1,20
1/21/2018,7.81,45.43,42.84,2018,1,21
1/22/2018,5.26,44.88,34.33,2018,1,22
1/23/2018,4.29,44.14,40.29,2018,1,23
1/24/2018,4.26,45.55,41.49,2018,1,24
1/26/2018,5.38,41.46,37.91,2018,1,26
1/29/2018,3.91,42.75,32.13,2018,1,29
1/31/2018,3.94,41.36,39.65,2018,1,31
2/1/2018,6.49,28.59,29.33,2018,2,1
2/3/2018,5.01,32.71,39.95,2018,2,3
2/5/2018,3.9,44.16,35.7,2018,2,5
2/7/2018,4.77,12.57,18.24,2018,2,7
2/11/2018,5.42,11.53,19.85,2018,2,11
2/12/2018,3.91,37.64,33.83,2018,2,12
2/13/2018,0.0,37.64,37.8,2018,2,13
2/14/2018,6.26,7.77,16.93,2018,2,14
2/15/2018,6.9,25.13,15.49,2018,2,15
2/16/2018,4.61,12.64,12.33,2018,2,16
2/17/2018,34.96,5.68,6.04,2018,2,17
2/18/2018,8.0,15.23,19.0,2018,2,18
2/19/2018,3.91,40.8,30.6,2018,2,19
2/20/2018,11.72,35.73,24.77,2018,2,20
2/21/2018,3.91,42.75,35.7,2018,2,21
2/22/2018,11.72,29.69,35.7,2018,2,22
2/23/2018,3.91,39.82,40.16,2018,2,23
2/24/2018,9.77,1.8,11.73,2018,2,24
2/25/2018,7.64,17.53,17.16,2018,2,25
2/26/2018,6.13,11.85,17.21,2018,2,26
2/27/2018,6.26,5.79,15.17,2018,2,27
2/28/2018,6.87,3.5,15.56,2018,2,28
3/1/2018,5.26,42.01,43.4,2018,3,1
3/2/2018,4.26,41.77,41.43,2018,3,2
3/3/2018,5.26,40.33,36.62,2018,3,3
3/4/2018,4.14,40.18,38.49,2018,3,4
3/5/2018,3.9,42.74,37.8,2018,3,5
3/6/2018,4.26,43.03,32.55,2018,3,6
3/7/2018,4.51,42.67,35.68,2018,3,7
3/8/2018,21.03,25.08,23.95,2018,3,8
3/9/2018,7.81,40.49,33.71,2018,3,9
3/10/2018,10.77,43.59,13.76,2018,3,10
3/11/2018,3.91,45.68,26.74,2018,3,11
3/12/2018,5.01,46.12,32.03,2018,3,12
3/13/2018,0.0,44.53,35.7,2018,3,13
3/14/2018,4.51,42.31,22.89,2018,3,14
3/15/2018,11.73,29.68,10.53,2018,3,15
3/17/2018,7.81,36.6,19.47,2018,3,17
3/18/2018,4.38,43.53,32.17,2018,3,18
3/19/2018,9.41,24.0,33.32,2018,3,19
3/20/2018,4.33,44.73,28.37,2018,3,20
3/21/2018,3.91,38.37,21.89,2018,3,21
3/22/2018,4.76,44.37,34.51,2018,3,22
3/23/2018,5.88,43.15,29.12,2018,3,23
3/24/2018,4.26,43.93,39.63,2018,3,24
3/25/2018,3.91,39.32,35.7,2018,3,25
3/26/2018,10.94,35.98,23.8,2018,3,26
3/27/2018,10.28,25.14,32.41,2018,3,27
3/28/2018,7.81,41.47,37.8,2018,3,28
3/29/2018,7.81,22.25,22.16,2018,3,29
3/30/2018,10.52,37.58,31.93,2018,3,30
3/31/2018,8.26,40.55,36.86,2018,3,31
4/1/2018,10.52,38.98,36.86,2018,4,1
4/2/2018,7.81,40.42,38.01,2018,4,2
4/3/2018,7.81,42.38,27.94,2018,4,3
4/4/2018,5.26,35.87,16.21,2018,4,4
4/5/2018,5.13,43.04,30.2,2018,4,5
4/6/2018,3.91,41.76,40.16,2018,4,6
4/7/2018,5.51,44.32,41.98,2018,4,7
4/8/2018,4.76,38.36,19.24,2018,4,8
4/9/2018,4.13,45.29,39.75,2018,4,9
4/10/2018,4.01,42.98,31.04,2018,4,10
4/11/2018,3.92,44.16,42.83,2018,4,11
4/12/2018,8.64,35.64,27.62,2018,4,12
4/13/2018,4.16,44.21,35.52,2018,4,13
4/14/2018,5.76,42.79,40.8,2018,4,14
4/15/2018,4.76,36.7,36.07,2018,4,15
4/16/2018,4.69,22.92,28.88,2018,4,16
4/17/2018,5.01,42.66,38.94,2018,4,17
4/18/2018,3.89,45.64,40.31,2018,4,18
4/19/2018,5.01,38.67,32.32,2018,4,19
4/20/2018,3.91,44.53,40.16,2018,4,20
4/21/2018,3.9,44.53,20.73,2018,4,21
4/22/2018,11.72,37.08,35.7,2018,4,22
4/23/2018,4.76,45.33,41.6,2018,4,23
4/25/2018,11.72,41.83,35.7,2018,4,25
4/26/2018,4.03,43.03,32.74,2018,4,26
4/27/2018,4.88,45.56,4.18,2018,4,27
10/10/2018,1.379,31.64,4.78,2018,10,10
10/11/2018,1.601,44.67,26.92,2018,10,11
10/12/2018,1.6480000000000001,40.8,29.11,2018,10,12
10/13/2018,1.327,42.83,29.56,2018,10,13
10/14/2018,1.357,39.45,41.13,2018,10,14
10/15/2018,1.3630000000000002,45.6,41.36,2018,10,15
10/16/2018,1.5719999999999998,40.03,18.98,2018,10,16
10/17/2018,1.9340000000000002,45.11,37.98,2018,10,17
10/18/2018,1.401,43.59,44.07,2018,10,18
10/19/2018,1.6269999999999998,22.0,25.58,2018,10,19
10/20/2018,1.3019999999999998,28.24,30.36,2018,10,20
10/21/2018,1.2770000000000001,37.34,47.15,2018,10,21
10/23/2018,1.46,45.44,35.68,2018,10,23
10/24/2018,1.5719999999999998,43.76,35.57,2018,10,24
10/25/2018,1.4869999999999999,46.53,43.98,2018,10,25
10/26/2018,1.505,35.41,35.36,2018,10,26
10/27/2018,1.469,46.41,45.65,2018,10,27
10/28/2018,1.7169999999999999,47.27,46.55,2018,10,28
10/29/2018,1.551,41.42,37.89,2018,10,29
10/30/2018,1.6440000000000001,38.48,34.88,2018,10,30
10/31/2018,1.86,34.25,32.2,2018,10,31
11/1/2018,6.143,20.61,21.43,2018,11,1
11/2/2018,1.661,38.87,23.97,2018,11,2
11/3/2018,1.485,19.61,6.2,2018,11,3
11/4/2018,1.406,46.59,42.92,2018,11,4
11/5/2018,1.58,44.43,39.74,2018,11,5
11/6/2018,1.666,39.95,40.81,2018,11,6
11/7/2018,1.5319999999999998,47.09,39.12,2018,11,7
11/8/2018,1.546,36.51,37.22,2018,11,8
11/9/2018,1.67,19.92,17.46,2018,11,9
11/10/2018,1.733,29.87,27.79,2018,11,10
11/11/2018,1.818,30.86,35.09,2018,11,11
11/12/2018,1.8719999999999999,43.1,36.3,2018,11,12
11/13/2018,1.557,38.11,29.53,2018,11,13
11/15/2018,1.548,39.34,34.34,2018,11,15
11/17/2018,1.614,31.79,28.44,2018,11,17
11/18/2018,1.5490000000000002,30.41,34.97,2018,11,18
11/19/2018,1.827,17.34,27.53,2018,11,19
11/20/2018,1.68,44.8,34.61,2018,11,20
11/21/2018,5.638999999999999,16.72,13.76,2018,11,21
11/22/2018,1.9609999999999999,12.15,24.06,2018,11,22
11/23/2018,2.125,19.7,1.12,2018,11,23
11/24/2018,1.632,44.61,43.98,2018,11,24
11/25/2018,1.5419999999999998,19.65,26.86,2018,11,25
11/26/2018,1.75,36.31,18.13,2018,11,26
11/27/2018,1.868,42.79,37.25,2018,11,27
11/28/2018,1.834,39.93,39.36,2018,11,28
11/30/2018,1.6640000000000001,32.23,45.44,2018,11,30
12/1/2018,1.839,45.69,45.48,2018,12,1
12/2/2018,1.959,44.06,35.62,2018,12,2
12/3/2018,2.021,45.34,39.76,2018,12,3
12/4/2018,1.989,47.04,45.1,2018,12,4
12/5/2018,1.7469999999999999,37.79,40.4,2018,12,5
12/6/2018,1.442,14.08,31.0,2018,12,6
12/7/2018,1.79,44.57,44.29,2018,12,7
12/8/2018,1.7280000000000002,38.34,34.97,2018,12,8
12/9/2018,1.4809999999999999,45.57,46.64,2018,12,9
12/11/2018,1.31,45.12,43.42,2018,12,11
12/12/2018,1.4240000000000002,33.13,28.47,2018,12,12
12/13/2018,1.5519999999999998,20.64,33.96,2018,12,13
12/14/2018,1.804,37.11,29.8,2018,12,14
12/15/2018,1.609,17.8,16.54,2018,12,15
12/16/2018,1.23,44.2,39.02,2018,12,16
12/17/2018,1.615,44.34,45.39,2018,12,17
12/18/2018,1.795,39.46,28.07,2018,12,18
12/19/2018,1.778,15.99,6.82,2018,12,19
12/20/2018,1.6059999999999999,46.11,42.24,2018,12,20
12/21/2018,1.329,25.17,20.23,2018,12,21
12/22/2018,1.5519999999999998,8.17,7.83,2018,12,22
12/23/2018,1.652,28.78,5.68,2018,12,23
12/24/2018,1.6840000000000002,45.71,43.45,2018,12,24
12/25/2018,1.739,39.65,11.83,2018,12,25
12/26/2018,1.3219999999999998,42.88,31.03,2018,12,26
12/27/2018,1.6369999999999998,46.05,38.83,2018,12,27
12/28/2018,1.618,37.87,3.75,2018,12,28
12/29/2018,1.444,47.24,36.0,2018,12,29
12/30/2018,1.475,46.44,24.66,2018,12,30
12/31/2018,1.334,40.65,16.94,2018,12,31
1/1/2019,1.229,45.0,34.06,2019,1,1
1/2/2019,1.819,44.61,36.32,2019,1,2
1/3/2019,1.47,44.99,32.61,2019,1,3
1/4/2019,1.45,45.69,22.94,2019,1,4
1/5/2019,1.68,20.24,19.65,2019,1,5
1/6/2019,1.49,47.61,42.63,2019,1,6
1/7/2019,1.34,36.46,8.47,2019,1,7
1/8/2019,1.3,45.35,44.11,2019,1,8
1/9/2019,1.2,47.03,47.28,2019,1,9
1/10/2019,1.3,47.66,46.41,2019,1,10
1/11/2019,1.49,44.44,43.34,2019,1,11
1/12/2019,1.45,46.28,44.95,2019,1,12
1/13/2019,1.63,41.3,29.6,2019,1,13
1/14/2019,1.3,41.42,31.16,2019,1,14
1/15/2019,1.43,46.63,34.14,2019,1,15
1/16/2019,1.67,44.29,44.7,2019,1,16
1/17/2019,1.55,18.8,28.09,2019,1,17
1/18/2019,1.39,31.86,18.78,2019,1,18
1/19/2019,1.77,37.22,18.86,2019,1,19
1/20/2019,1.5,45.6,18.95,2019,1,20
1/21/2019,1.48,45.62,46.25,2019,1,21
1/22/2019,1.33,21.75,12.85,2019,1,22
1/23/2019,1.34,22.66,9.84,2019,1,23
1/24/2019,9.75,13.42,10.45,2019,1,24
1/25/2019,3.75,13.65,12.46,2019,1,25
1/26/2019,6.26,11.91,6.49,2019,1,26
1/27/2019,1.73,43.95,26.0,2019,1,27
1/28/2019,1.51,45.7,43.93,2019,1,28
1/29/2019,1.52,41.66,21.89,2019,1,29
1/30/2019,1.52,14.76,8.07,2019,1,30
1/31/2019,1.59,16.12,9.62,2019,1,31
2/1/2019,1.21,33.5,42.62,2019,2,1
2/2/2019,1.68,45.07,43.72,2019,2,2
2/3/2019,1.55,46.76,37.01,2019,2,3
2/4/2019,1.53,46.83,46.0,2019,2,4
2/5/2019,1.24,46.86,32.22,2019,2,5
2/6/2019,1.6,45.4,22.6,2019,2,6
2/7/2019,1.58,44.55,22.74,2019,2,7
2/8/2019,1.68,43.14,18.87,2019,2,8
2/9/2019,1.43,44.85,18.02,2019,2,9
2/10/2019,1.45,46.72,29.14,2019,2,10
2/11/2019,1.46,45.43,33.0,2019,2,11
2/12/2019,1.29,44.05,21.36,2019,2,12
2/13/2019,1.37,45.8,37.4,2019,2,13
2/14/2019,1.43,42.99,30.03,2019,2,14
2/15/2019,1.82,12.23,9.73,2019,2,15
2/16/2019,1.63,46.57,42.46,2019,2,16
2/17/2019,1.61,45.28,27.62,2019,2,17
2/18/2019,1.53,43.68,43.77,2019,2,18
2/19/2019,1.42,45.32,43.79,2019,2,19
2/20/2019,1.6,44.17,46.7,2019,2,20
2/21/2019,1.73,10.81,20.09,2019,2,21
2/22/2019,1.78,19.84,19.71,2019,2,22
2/23/2019,1.32,46.48,42.31,2019,2,23
2/24/2019,1.56,43.41,37.66,2019,2,24
2/25/2019,1.21,46.62,44.38,2019,2,25
2/26/2019,1.43,43.74,40.73,2019,2,26
2/27/2019,1.4,11.3,8.06,2019,2,27
2/28/2019,1.99,19.4,22.92,2019,2,28
3/1/2019,2.14,8.69,10.4,2019,3,1
3/2/2019,1.64,20.5,13.35,2019,3,2
3/3/2019,1.49,26.22,25.75,2019,3,3
3/4/2019,1.46,35.16,39.28,2019,3,4
3/5/2019,1.22,18.58,33.23,2019,3,5
3/6/2019,1.44,35.84,42.84,2019,3,6
3/7/2019,1.57,44.54,43.83,2019,3,7
3/8/2019,1.86,25.81,29.77,2019,3,8
3/9/2019,1.46,18.5,13.55,2019,3,9
3/10/2019,1.36,25.14,32.63,2019,3,10
3/11/2019,1.34,42.42,40.14,2019,3,11
3/12/2019,1.38,39.24,44.65,2019,3,12
3/13/2019,1.47,37.72,38.6,2019,3,13
3/14/2019,1.64,41.18,42.11,2019,3,14
3/15/2019,1.87,31.47,29.45,2019,3,15
3/16/2019,1.61,44.21,40.35,2019,3,16
3/17/2019,1.61,43.04,42.59,2019,3,17
3/18/2019,1.43,45.96,44.94,2019,3,18
3/19/2019,1.82,42.58,34.18,2019,3,19
3/20/2019,1.26,43.76,35.9,2019,3,20
3/21/2019,1.29,42.97,43.77,2019,3,21
3/22/2019,8.38,8.66,24.66,2019,3,22
3/23/2019,1.62,36.36,36.17,2019,3,23
3/24/2019,1.33,41.44,44.08,2019,3,24
3/25/2019,1.7,34.22,32.41,2019,3,25
3/26/2019,1.32,40.92,40.96,2019,3,26
3/27/2019,1.21,44.12,40.97,2019,3,27
3/28/2019,1.37,43.83,40.64,2019,3,28
3/29/2019,1.57,44.33,40.73,2019,3,29
3/30/2019,1.89,41.81,42.08,2019,3,30
3/31/2019,1.58,39.45,38.43,2019,3,31
